00137277-s	receivable.s.01
00137373-s	out-of-pocket.s.01
00137501-s	repayable.s.01
00137641-a	undue.a.01
00137725-a	due.a.03
00137943-a	undue.a.02
00138169-a	apropos.a.01
00138314-s	apposite.s.01
00138622-a	malapropos.a.01
00138782-s	inapposite.s.01
00138912-a	a_priori.a.01
00139126-a	a_posteriori.a.01
00139344-a	apteral.a.01
00139492-s	amphiprostylar.s.01
00139702-s	prostyle.s.01
00139870-a	peripteral.a.01
00139990-s	monopteral.s.01
00140075-s	peristylar.s.01
00140233-a	arbitrable.a.01
00140437-a	nonarbitrable.a.01
00140542-a	columned.a.01
00140880-s	amphistylar.s.01
00140989-s	columnar.s.02
00141111-s	columniform.s.01
00141316-s	colonnaded.s.01
00141429-s	pillared.s.01
00141522-a	noncolumned.a.01
00141647-s	astylar.s.01
00141746-s	unpillared.s.01
00141818-a	arboreal.a.02
00141947-a	nonarboreal.a.01
00142040-a	arenaceous.a.01
00142270-a	argillaceous.a.01
00142407-a	armed.a.01
00142622-s	equipped.s.04
00142704-s	light-armed.s.02
00142825-s	militarized.s.01
00142917-a	unarmed.a.01
00143201-s	barehanded.s.01
00143294-s	clean.s.16
00143376-s	defenseless.s.03
00143516-s	weaponless.s.01
00143589-a	armored.a.01
00143854-s	armor-clad.s.01
00144020-s	bony-plated.s.01
00144102-s	bulletproof.s.02
00144244-s	lightly_armored.s.01
00144408-s	mail-cheeked.s.01
00144510-s	mail-clad.s.01
00144598-s	scaled.s.02
00144728-a	unarmored.a.02
00144877-a	armed.a.03
00145083-s	barbed.s.02
00145628-s	bristlelike.s.01
00145706-s	brushlike.s.01
00145805-s	thistlelike.s.01
00145883-s	clawed.s.02
00145995-a	unarmed.a.02
00146128-s	thornless.s.01
00146210-a	armed.a.02
00146430-s	armlike.s.01
00146501-s	brachiate.s.02
00146609-s	long-armed.s.01
00146693-s	one-armed.s.01
00146786-a	armless.a.01
00146883-a	armored.a.02
00147052-s	bone-covered.s.01
00147160-s	scaly.s.02
00147397-s	silver-scaled.s.01
00147528-a	unarmored.a.01
00147659-s	scaleless.s.01
00147734-a	artful.a.02
00148078-s	crafty.s.01
00148642-s	cute.s.02
00148852-s	designing.s.01
00149120-s	deep.s.15
00149262-s	elusive.s.02
00149461-s	manipulative.s.01
00149686-s	pawky.s.01
00149861-a	artless.a.02
00150055-s	careless.s.02
00150202-a	articulate.a.01
00150505-s	eloquent.s.01
00150835-s	speech-endowed.s.01
00150936-s	well-spoken.s.01
00151105-a	inarticulate.a.01
00151530-s	aphasic.s.02
00151661-s	aphonic.s.01
00151855-s	dumb.s.04
00152004-s	dumb.s.03
00152104-s	incoherent.s.03
00152285-s	mute.s.01
00152629-s	speechless.s.01
00152784-s	unarticulated.s.02
00152896-a	speaking.a.01
00153083-s	tongued.s.02
00153239-a	nonspeaking.a.01
00153410-a	articulated.a.01
00153545-s	jointed.s.01
00153652-a	unarticulated.a.01
00153789-s	unjointed.s.01
00153898-a	ashamed.a.01
00154163-s	discredited.s.02
00154270-s	embarrassed.s.02
00154583-s	guilty.s.02
00154837-s	shamefaced.s.02
00154965-a	unashamed.a.01
00155144-s	audacious.s.02
00155720-s	shameless.s.01
00155886-s	unabashed.s.01
00156101-a	assertive.a.01
00156440-s	cocky.s.01
00156575-s	emphatic.s.03
00156839-a	unassertive.a.01
00157080-s	nonassertive.s.01
00157268-s	reticent.s.03
00157389-a	associative.a.01
00157659-s	associable.s.01
00157849-a	nonassociative.a.01
00157925-a	attached.a.03
00158110-s	bespoken.s.02
00158238-s	intended.s.02
00158332-s	involved.s.03
00158407-a	unattached.a.02
00158546-s	unengaged.s.02
00158701-a	affixed.a.01
00158864-s	appendant.s.01
00158961-s	basifixed.s.01
00159106-s	glued.s.01
00159267-s	mounted.s.01
00159381-a	unaffixed.a.01
00159498-a	sessile.a.02
00159735-a	pedunculate.a.01
00159975-a	sessile.a.01
00160144-a	vagile.a.01
00160288-s	free-swimming.s.01
00160425-a	attached.a.02
00160573-a	detached.a.04
00160768-s	freestanding.s.01
00160957-s	semidetached.s.01
00161065-a	stuck.a.01
00161170-s	cragfast.s.01
00161276-a	unstuck.a.01
00161431-a	attachable.a.01
00161684-s	bindable.s.01
00161878-s	clip-on.s.01
00161993-s	tie-on.s.01
00162083-a	detachable.a.01
00162248-s	clastic.s.02
00162386-a	wary.a.01
00162661-s	on_guard.s.01
00162863-s	shy.s.03
00162990-a	unwary.a.01
00163315-s	gullible.s.02
00163480-s	unguarded.s.02
00163592-a	attentive.a.01
00163948-s	captive.s.02
00164308-s	advertent.s.01
00164462-s	observant.s.01
00164598-s	oversolicitous.s.01
00164681-s	solicitous.s.02
00164863-a	inattentive.a.01
00165171-s	absent.s.03
00165458-s	distracted.s.01
00165585-s	dreamy.s.01
00165766-s	drowsy.s.02
00165943-s	forgetful.s.03
00166146-a	attractive.a.01
00166753-s	bewitching.s.01
00167077-s	charismatic.s.01
00167278-s	cunning.s.01
00167520-s	dinky.s.02
00167671-s	engaging.s.01
00167829-s	fetching.s.01
00168039-s	glossy.s.03
00168188-s	hypnotic.s.02
00168551-s	irresistible.s.02
00168694-s	personable.s.01
00168820-s	photogenic.s.01
00168910-s	prepossessing.s.01
00169056-s	winsome.s.01
00169164-a	unattractive.a.01
00169432-s	homely.s.01
00169692-s	subfusc.s.01
00169826-s	unprepossessing.s.01
00169955-a	attractive.a.03
00170156-a	repulsive.a.02
00170358-a	appealing.a.01
00170717-s	attention-getting.s.02
00170847-s	attractive.s.02
00171044-a	unappealing.a.02
00171292-s	off-putting.s.02
00171447-s	unattractive.s.02
00171590-a	attributable.a.01
00171872-s	ascribable.s.01
00172172-s	credited.s.01
00172308-s	traceable.s.01
00172452-a	unattributable.a.01
00172562-a	attributive.a.01
00172774-s	attributive_genitive.s.01
00172993-a	predicative.a.01
00173220-a	pregnant.a.01
00173391-s	big.s.13
00173694-a	nonpregnant.a.01
00173764-a	audible.a.01
00174056-s	clunky.s.02
00174150-s	sonic.s.02
00174243-s	sounding.s.03
00174379-a	inaudible.a.01
00174719-s	breathed.s.01
00174879-s	infrasonic.s.01
00174983-s	silent.s.05
00175123-s	silent.s.04
00175300-s	supersonic.s.02
00175435-s	unheard.s.01
00175528-a	sonic.a.01
00175719-a	subsonic.a.01
00175887-a	supersonic.a.01
00176150-a	auspicious.a.01
00176387-s	bright.s.10
00176676-s	fortunate.s.03
00176838-a	inauspicious.a.01
00176991-s	unpromising.s.01
00177186-a	propitious.a.01
00177547-s	golden.s.06
00177834-s	gracious.s.04
00177963-a	unpropitious.a.01
